coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,2,20,0,5,119,0,0,0,1,17,1,83,25,0,7,7,107,2,105,0,0,0,1,0.117,
0,1,9,0,2,146,0,0,0,1,22,3,90,40,1,7,6,110,5,105,0,0,0,1,0.094,
3,3,81,0,3,91,0,0,1,0,23,11,0,3,1,4,2,31,1,30,0,0,1,0,0.114,
2,2,14,0,5,109,0,0,0,0,17,4,60,13,1,3,2,40,4,36,0,0,0,0,0.091,
3,3,81,0,3,71,0,0,1,0,22,11,0,3,1,4,2,33,1,32,0,0,1,0,0.108,
8,1,68,0,12,192,0,0,0,0,59,16,66,3,0,4,11,83,0,83,0,0,0,0,0.214,
33,20,181,14,62,2850,0,0,0,0,212,26,0,31,2,6,77,414,44,370,0,0,0,0,0.266,
5,10,40,8,23,947,0,0,0,1,126,16,65,17,1,9,36,326,3,323,0,0,0,1,0.176,
2,6,45,3,10,422,0,0,1,1,45,9,0,6,1,10,19,291,36,255,0,0,1,1,0.11,
7,7,63,6,18,336,0,0,0,0,59,15,83,17,0,4,9,96,1,95,0,0,0,0,0.157,
3,4,18,0,4,59,0,0,0,0,23,3,0,3,0,0,0,0,0,0,0,0,0,0,0,
2,13,89,8,32,1328,0,0,1,1,133,13,78,8,151,5,31,1328,847,481,0,0,1,1,0.047,
0,2,27,0,10,481,0,0,0,0,50,6,88,45,1,5,9,116,4,112,0,0,0,0,0.134,
0,1,8,1,4,177,0,0,0,0,32,2,90,47,1,6,17,181,1,180,0,0,0,1,0.156,
13,13,126,2,13,157,0,0,0,0,35,16,0,5,0,0,0,0,0,0,0,0,0,0,0.154,
2,1,5,0,6,283,0,0,0,0,45,6,78,41,0,4,5,92,0,92,0,0,0,0,0.097,
2,1,14,0,6,357,0,0,0,0,32,5,89,54,0,4,16,158,20,138,0,0,0,0,0.169,
2,2,8,0,3,47,0,0,0,0,12,10,0,2,0,5,3,49,0,49,0,0,0,0,0.109,
0,1,12,0,5,110,0,0,0,0,12,1,82,26,1,4,12,108,1,107,0,0,0,0,0.182,
0,1,2,2,2,206,0,0,1,0,7,2,83,61,1,4,3,48,9,39,0,0,1,0,0.105,
2,1,9,0,6,43,0,0,0,0,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,2,9,1,2,117,0,0,0,0,24,1,0,30,3,5,0,64,13,51,0,0,0,0,0,
