165,178,0.615384615385
133,145,1.0
132,205,1.0
131,144,1.0
130,113,0.5625
137,148,1.0
136,147,1.0
135,178,1.0
134,157,1.0
139,205,1.0
138,149,1.0
166,181,1.0
24,26,1.0
25,27,1.0
26,28,1.0
27,30,1.0
20,23,1.0
21,108,1.0
22,24,1.0
23,25,1.0
160,194,0.755555555556
28,31,1.0
29,32,1.0
0,0,1.0
4,5,1.0
8,8,1.0
119,130,1.0
120,131,1.0
121,132,1.0
122,133,1.0
123,134,1.0
124,137,1.0
126,139,1.0
127,178,1.0
128,142,1.0
129,143,1.0
167,186,1.0
118,129,1.0
59,62,1.0
55,58,1.0
54,57,1.0
57,61,1.0
56,59,1.0
51,54,1.0
50,53,1.0
53,56,1.0
52,55,1.0
164,185,0.96
179,196,1.0
195,116,0.666666666667
194,200,0.818181818182
197,150,0.75
178,177,0.916666666667
191,159,0.625
193,199,0.666666666667
192,102,0.666666666667
115,126,1.0
114,125,0.666666666667
88,94,1.0
89,95,1.0
111,122,1.0
110,120,1.0
113,124,1.0
112,123,1.0
82,87,1.0
83,88,1.0
80,85,1.0
81,86,1.0
86,92,1.0
87,93,1.0
84,89,1.0
85,154,1.0
198,153,0.8
3,4,1.0
177,189,0.727272727273
7,7,1.0
108,115,1.0
109,118,1.0
103,109,1.0
100,105,1.0
101,106,1.0
106,112,1.0
107,114,1.0
105,110,1.0
39,39,1.0
38,38,1.0
33,33,1.0
32,168,1.0
31,170,1.0
30,191,1.0
37,37,1.0
36,36,1.0
35,35,1.0
34,34,1.0
176,195,1.0
60,63,1.0
61,64,1.0
62,66,1.0
63,67,1.0
64,68,1.0
65,69,1.0
66,71,1.0
67,72,1.0
68,73,1.0
69,74,1.0
175,184,0.666666666667
174,192,1.0
173,202,1.0
172,188,1.0
171,167,1.0
170,158,0.75
181,197,0.977777777778
182,198,1.0
183,176,0.5625
2,3,1.0
162,175,1.0
187,204,1.0
184,201,1.0
6,6,1.0
186,203,1.0
188,193,1.0
189,200,0.540540540541
185,180,1.0
98,104,1.0
168,179,1.0
169,197,1.0
91,97,1.0
90,96,1.0
93,98,1.0
92,135,1.0
95,100,1.0
94,99,1.0
97,103,1.0
96,101,1.0
11,12,1.0
10,10,1.0
13,16,1.0
12,15,1.0
15,18,1.0
14,17,1.0
17,20,1.0
16,119,1.0
19,22,1.0
18,21,1.0
117,128,1.0
116,127,1.0
151,164,1.0
150,163,1.0
152,168,1.0
156,206,0.809523809524
159,173,1.0
158,171,0.875
48,50,1.0
49,52,1.0
47,48,1.0
44,46,1.0
45,47,1.0
42,43,1.0
43,45,1.0
40,40,1.0
41,41,1.0
1,2,1.0
5,183,1.0
9,9,1.0
146,183,1.0
147,160,1.0
144,167,0.571428571429
145,183,1.0
142,155,1.0
143,156,1.0
141,152,1.0
148,161,1.0
149,162,1.0
77,82,1.0
76,81,1.0
75,79,1.0
74,159,1.0
73,78,1.0
72,77,1.0
71,76,1.0
70,75,1.0
79,84,1.0
78,83,1.0
