Smells,Change,Recovery
SF,0,ARC
SF,3,ARC
SF,3,ARC
SF,3,ARC
CO,5,ARC
CO,0,ARC
CO,0,ARC
CO,0,ARC
CO,0,ARC
DC,2,ARC
DC,7,ARC
DC,3,ARC
DC,0,ARC
DC,0,ARC
LO,9,ARC
LO,12,ARC
LO,13,ARC
LO,9,ARC
LO,6,ARC
DC,0,Packages
DC,0,Packages
DC,3,Packages
DC,0,Packages
DC,0,Packages
LO,2,Packages
LO,0,Packages
LO,3,Packages
LO,4,Packages
LO,4,Packages
