Smells,Change,Recovery
SF,6,ARC
SF,12,ARC
SF,42,ARC
SF,23,ARC
CO,28,ARC
CO,13,ARC
CO,0,ARC
CO,7,ARC
CO,6,ARC
DC,26,ARC
DC,10,ARC
DC,5,ARC
DC,1,ARC
DC,1,ARC
LO,100,ARC
LO,98,ARC
LO,100,ARC
LO,59,ARC
LO,18,ARC
DC,4,Packages
DC,1,Packages
DC,6,Packages
DC,1,Packages
DC,3,Packages
LO,12,Packages
LO,24,Packages
LO,19,Packages
LO,21,Packages
LO,7,Packages
