Models,AUC,Recovery
N,0.802854594112399,Packages
L,0.750223015165031,Packages
F,0.816830211121022,Packages
N,0.823276836158192,Packages
L,0.775593220338983,Packages
F,0.803841807909604,Packages
N,0.793167128347183,Packages
L,0.716297322253001,Packages
F,0.779547553093259,Packages
