Models,AUC,Recovery
N,0.91304347826087,Packages
L,0.934782608695652,Packages
F,1,Packages
N,0.71875,Packages
L,0.833333333333333,Packages
F,0.770833333333333,Packages
N,0.954022988505747,Packages
L,1,Packages
F,0.96551724137931,Packages
