Models,AUC,Recovery
N,0.882352941176471,Packages
L,0.928571428571429,Packages
F,0.997899159663866,Packages
N,0.90539541759054,Packages
L,0.887657058388766,Packages
F,0.991130820399113,Packages
N,0.901622718052738,Packages
L,0.911764705882353,Packages
F,0.987829614604462,Packages
