Models,AUC,Smell
N,0.858490566037736,ARC-SF_EM
L,0.80188679245283,ARC-SF_EM
F,1,ARC-SF_EM
N,0.482758620689655,ARC-SF_EM
L,0.724137931034483,ARC-SF_EM
F,0.172413793103448,ARC-SF_EM
N,0.993197278911565,ARC-DC_EM
L,0.994897959183673,ARC-DC_EM
F,1,ARC-DC_EM
N,0.839285714285714,ARC-LO_EM
L,0.797619047619048,ARC-LO_EM
F,1,ARC-LO_EM
N,1,ARC-DC_EM
L,1,ARC-DC_EM
F,1,ARC-DC_EM
N,0.857142857142857,ARC-LO_EM
L,0.875776397515528,ARC-LO_EM
F,0.739130434782609,ARC-LO_EM
