Kind,Name,CountClassCoupled,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/InOut.java",,12,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Intercept.java",,5,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/InvalidPayloadException.java",,21,,,4
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/InvalidPayloadRuntimeException.java",,21,,,4
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/IsSingleton.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/LoggingLevel.java",,6,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Message.java",,31,,,25
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Navigate.java",,6,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/NoFactoryAvailableException.java",,16,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/NoSuchBeanException.java",,16,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/NoSuchEndpointException.java",,13,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/NoSuchHeaderException.java",,28,,,6
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/NoSuchLanguageException.java",,12,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/NoSuchPropertyException.java",,28,,,6
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/NoTypeConversionAvailableException.java",,31,,,8
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/OutHeaders.java",,11,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Pattern.java",,12,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/PollingConsumer.java",,6,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/PollingConsumerPollStrategy.java",,6,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Predicate.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Processor.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Produce.java",,14,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Producer.java",,7,,,4
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/ProducerCallback.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/ProducerTemplate.java",,70,,,56
