org.apache.openjpa.util	6	10	115	3	12	2109	0	0	1	1	188	6	88	107	20	6	122	1365	808	557	0	0	1	1	0.155
org.apache.openjpa.lib.util	2	5	25	0	5	441	0	0	0	1	22	3	98	53	32	1	28	948	537	411	0	0	0	1	0.056
org.apache.openjpa.jdbc.kernel.exps	10	11	129	3	11	1462	0	0	1	1	221	23	75	24	2	13	392	939	94	845	0	0	1	1	0.455
org.apache.openjpa.jdbc.meta	3	7	22	1	10	2100	0	0	1	1	228	9	62	21	8	16	238	1356	491	865	0	0	1	1	0.26
org.apache.openjpa.jdbc.conf	0	1	15	2	2	623	0	0	1	0	39	3	94	127	8	11	4	178	70	108	0	0	1	0	0.043
org.apache.openjpa.kernel.jpql	0	2	15	6	2	1107	0	0	0	0	40	2	96	272	0	6	2	92	6	86	0	0	0	0	0.042
org.apache.openjpa.conf	5	7	83	0	10	1166	0	0	1	1	69	6	98	236	18	11	12	328	155	173	0	0	1	1	0.068
org.apache.openjpa.enhance	5	7	106	4	16	3440	0	0	1	0	197	5	0	7	11	9	34	654	118	536	0	0	1	0	0.094
org.apache.openjpa.kernel	16	11	138	12	27	6514	0	0	1	1	321	11	66	102	19	13	390	1728	539	1189	0	0	1	1	0.311
org.apache.openjpa.jdbc.kernel	0	4	28	3	4	472	0	0	1	1	64	3	56	15	7	20	71	941	232	709	0	0	1	1	0.131
org.apache.openjpa.lib.jdbc	0	2	12	0	2	528	0	0	0	0	31	2	68	152	3	3	20	258	53	205	0	0	0	0	0.134
org.apache.openjpa.persistence	27	31	334	7	42	5411	0	0	0	1	484	19	81	228	1	14	197	1356	65	1291	0	0	0	1	0.224
org.apache.openjpa.persistence.jdbc	12	14	154	2	19	2018	0	0	0	1	193	15	65	43	0	14	79	595	14	581	0	0	0	1	0.21
org.apache.openjpa.datacache	2	6	69	0	8	1403	0	0	1	0	136	8	70	20	4	12	65	362	43	319	0	0	1	0	0.264
org.apache.openjpa.lib.meta	0	2	6	0	2	245	0	0	0	0	32	2	71	20	6	3	33	413	54	359	0	0	0	0	0.138
org.apache.openjpa.jdbc.schema	5	7	34	1	9	2966	0	0	1	0	208	12	96	184	8	11	136	949	527	422	0	0	1	0	0.222
org.apache.openjpa.jdbc.sql	27	13	95	22	40	7736	0	0	1	0	388	18	86	116	7	12	116	1578	667	911	0	0	1	0	0.128
org.apache.openjpa.lib.conf	14	11	158	1	15	1298	0	0	0	1	135	22	64	23	20	3	52	478	198	280	0	0	0	1	0.179
org.apache.openjpa.meta	7	12	119	5	14	4910	0	0	1	1	293	9	97	376	19	11	137	1218	565	653	0	0	1	1	0.184
org.apache.openjpa.kernel.exps	1	1	14	1	1	65	0	0	1	0	13	1	93	6	7	6	284	740	204	536	0	0	1	0	0.434
org.apache.openjpa.util	7	8	88	0	10	683	0	0	1	1	98	17	88	113	20	6	126	1377	810	567	0	0	1	1	0.158
org.apache.openjpa.lib.util	0	1	25	0	1	69	0	0	0	1	2	1	76	20	32	1	28	953	539	414	0	0	0	1	0.052
org.apache.openjpa.jdbc.kernel.exps	2	2	36	0	2	671	0	0	1	1	55	5	89	158	2	13	392	939	94	845	0	0	1	1	0.471
org.apache.openjpa.jdbc.meta	2	2	14	0	3	1387	0	0	1	1	67	3	87	317	8	16	238	1356	491	865	0	0	1	1	0.257
org.apache.openjpa.jdbc.conf	0	1	3	3	2	623	0	0	1	0	39	3	94	127	8	11	4	178	70	108	0	0	1	1	0.05
org.apache.openjpa.kernel.jpql	2	4	18	8	6	1196	0	0	0	0	47	8	75	21	0	6	2	92	6	86	0	0	0	0	0.059
